variant_id,quality_phred,read_depth,clinical_notes,target_class
rs1,67,37,pathogenic found patient frameshift variant in,1
rs2,57,33,intronic tolerated observed population variant,0
rs3,69,28,variant patient critical_region in risk found,1
rs4,82,30,benign observed intronic variant population,0
rs5,56,35,variant risk found in stop_gained patient,1
rs6,56,33,pathogenic found in variant inestable patient,1
rs7,83,38,benign population observed estable variant,0
rs8,71,28,in patient stop_gained critical_region variant found,1
rs9,52,31,variant patient found in risk pathogenic,1
rs10,68,29,observed no_change synonymous variant population,0
rs11,53,26,patient found frameshift deleterious variant in,1
rs12,53,13,found variant frameshift in patient stop_gained,1
rs13,63,36,variant synonymous intronic observed population,0
rs14,31,23,variant patient inestable found in critical_region,1
rs15,34,35,in inestable found patient variant risk,1
rs16,51,32,found risk variant patient in high_impact,1
rs17,44,18,variant observed better population tolerated,0
rs18,64,31,variant observed common_variant population tolerated,0
rs19,46,30,stop_gained in found variant inestable patient,1
rs20,38,35,tolerated intronic population variant observed,0
rs21,81,29,inestable risk variant found patient in,1
rs22,56,36,found high_impact in variant inestable patient,1
rs23,61,28,population intronic observed variant common_variant,0
rs24,38,23,patient found critical_region in variant risk,1
rs25,51,31,observed population variant no_change tolerated,0
rs26,61,33,variant patient risk inestable in found,1
rs27,42,31,better population benign variant observed,0
rs28,65,29,found in inestable variant high_impact patient,1
rs29,50,28,variant in high_impact patient critical_region found,1
rs30,55,17,in patient variant stop_gained found deleterious,1
rs31,50,37,observed tolerated variant estable population,0
rs32,87,30,intronic variant common_variant population observed,0
rs33,59,30,inestable in high_impact patient found variant,1
rs34,44,24,population common_variant variant observed tolerated,0
rs35,72,28,variant intronic population observed synonymous,0
rs36,41,32,patient variant in high_impact pathogenic found,1
rs37,63,28,critical_region variant frameshift found in patient,1
rs38,30,30,variant population benign observed better,0
rs39,40,33,common_variant observed intronic population variant,0
rs40,62,20,estable observed variant better population,0
rs41,71,41,population observed variant no_change common_variant,0
rs42,62,28,found in variant patient inestable high_impact,1
rs43,58,29,synonymous observed variant benign population,0
rs44,55,41,population no_change benign variant observed,0
rs45,37,24,common_variant observed estable population variant,0
rs46,49,22,intronic observed benign population variant,0
rs47,53,21,population no_change tolerated observed variant,0
rs48,75,20,synonymous population variant observed benign,0
rs49,65,36,intronic population observed variant no_change,0
rs50,33,36,variant observed intronic population common_variant,0
rs51,64,22,benign variant observed no_change population,0
rs52,54,32,synonymous estable population observed variant,0
rs53,49,34,found patient variant in inestable critical_region,1
rs54,69,26,risk in patient variant stop_gained found,1
rs55,75,34,found deleterious high_impact in variant patient,1
rs56,73,28,estable observed variant synonymous population,0
